Country Name,Year,Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Physicians (per 1,000 people)","Population, female","Population, male","Population, total",Rural population (% of total population)
Rwanda,2000,-0.19028504345132422,-1.368712858433238,,-2.392587769042693,,4291977.0,-1.2102285126527585,-1.2199879852798392,1.0772213695519894
Rwanda,2001,-0.19028504345132422,-1.4259165278562946,,-2.06039325092813,,4338981.0,-1.2084038563690624,-1.2174143463710696,1.0772213695519894
Rwanda,2002,-0.19028504345132422,-1.4532729052813225,,-1.7124921362124064,0.019,4404326.0,-1.2050738011054842,-1.2134363447905285,1.0460950016797022
Rwanda,2003,1.1522399671930126,-0.9532106474728453,,-1.2674064550269957,,4498483.0,-1.1986190420099274,-1.2068690154564015,1.0270326811503214
Rwanda,2004,1.537993093987899,-0.8034809398927732,1.7,-0.8765085321155924,0.049,4609011.0,-1.1902877307525799,-1.1987794460536865,1.0264322931021512
Rwanda,2005,1.6818112957705833,-0.5625565238567728,,-0.5922191336345717,0.024,4724005.0,-1.1817297935437154,-1.1904184877770712,1.025831905053981
Rwanda,2006,1.6050774322265016,-0.45505091967777955,1.6,-0.32245833700962623,,4843074.0,-1.1729654586153873,-1.1818100960151658,1.02508141999377
Rwanda,2007,1.7736423340992176,-0.13540143786362144,1.6,-0.09432002137775765,,4965528.0,-1.1640208831642151,-1.1729917340409066,1.0244810319456017
Rwanda,2008,1.572078977300005,0.18865435180820972,0.6,0.12890998281624827,0.052,5090049.0,-1.1549659592195682,-1.164045011988765,1.0238806438974315
Rwanda,2009,1.7316524699368558,0.392535693854547,0.75,0.35901162302326306,0.055,5215568.0,-1.1458532104322598,-1.1550340219557271,1.0231301588372181
Rwanda,2010,1.9195386353434736,0.5924698960425347,0.74,0.5535770884201493,0.055,5341376.0,-1.1366937972061812,-1.1459893325654378,1.02252977078905
Rwanda,2011,1.8200450902013898,0.7777281808071741,0.72,0.6855124998699041,0.0129,5466485.0,-1.127551264090988,-1.136977744527104,1.0219293827408797
Rwanda,2012,1.9330498686517978,1.0603223001483637,0.71,0.8254975420777536,,5592023.0,-1.11843949183902,-1.1279665786101558,1.0211788976806686
Rwanda,2013,1.0491563332439475,0.5816679658888798,0.77,0.9162031374494611,0.099,5722427.0,-1.1091599647660617,-1.1186996423105595,1.0205785096324984
Rwanda,2014,1.1893914268536134,0.7268972856072082,0.71,1.0020004213833045,0.089,5857759.0,-1.0996676924939262,-1.1091520656433709,1.0175765693916514
Rwanda,2015,0.9671014232342747,0.6349629916504164,0.74,1.0669864648206102,0.11,5995302.0,-1.0900612353394783,-1.099469128718662,1.0120229799460827
Rwanda,2016,1.1735371427574721,0.7338594037119938,0.73,1.12863485648017,0.12,6134976.0,-1.0803316649796049,-1.0896491430508923,1.0042179353198804
Rwanda,2017,0.7780164520629852,0.6079134307008935,0.72,1.2085421666885778,0.135,6276692.0,-1.0704853288940193,-1.0796984404608396,0.9938612414889563
Rwanda,2018,0.9698674511964929,0.7627940230336837,0.72,1.2505573125966842,0.132,6420052.0,-1.0605402929865204,-1.0696401320943436,0.9809528984533122
Rwanda,2019,0.7118399422767,0.7325434347408674,0.72,1.3167213507790771,0.116,6564443.0,-1.0505157392012963,-1.059505454933909,0.9656430032249895
Rwanda,2020,1.5236187575283675,1.1121060921085832,0.74,1.3681604546478805,,6709518.0,-1.0404254087856382,-1.0493135451489979,0.9477814587919471
Rwanda,2021,1.4017171244922157,1.2212677937664644,,1.3479382115238836,,6854356.0,-1.0303402400567796,-1.0391325753433196,0.9386818274368779
Rwanda,2022,1.7846391749960115,2.045502097395608,,1.4810516177187285,,7001645.0,-1.019983315493169,-1.028728338501654,0.9386818274368779
Rwanda,2023,1.7846391749960115,2.045502097395608,,1.5315090592999574,,7152063.0,-1.0093095749640955,-1.0180542605645004,0.9386818274368779
Tanzania,2000,-1.1858983907910372,-0.830927365061051,,-1.3233612054186337,,17235727.0,-0.2962989923513318,-0.3037662019370784,0.2157583310612896
Tanzania,2001,-0.6400796266830784,-0.830927365061051,,-1.1505886428058583,,17712781.0,-0.2641356848720703,-0.27076475204230505,0.1609729216658217
Tanzania,2002,-0.33825577998977663,-0.830927365061051,,-0.9903813574740133,0.023,18191098.0,-0.2331175743371004,-0.23829640628025459,0.10543702721014477
Tanzania,2003,0.09644559873458178,-0.7954155887849786,,-0.7962085569921551,,18692353.0,-0.200543424489592,-0.20423645183531536,0.020332021382117593
Tanzania,2004,0.35931849279009864,-0.6416517651579017,,-0.6181350180264888,,19220319.0,-0.16621492890290238,-0.16835215911711493,-0.07152734998781453
Tanzania,2005,0.7489323826402401,-0.4270193732682641,,-0.4534120861718094,,19774479.0,-0.13006582267892716,-0.13062829657900407,-0.16488769147817117
Tanzania,2006,1.4033392226910932,-0.03021010766449577,1.1,-0.28908181923215803,,20349097.0,-0.09252445606951767,-0.09148265886198241,-0.25989910010099543
Tanzania,2007,1.1225555432857806,0.0019253462300965279,,-0.14222514101129977,,20937593.0,-0.054013110856909324,-0.05135966943109918,-0.3564114788442399
Tanzania,2008,0.23934073977596773,0.003220003251659836,,-0.017357698032066392,,21527596.0,-0.015983127814635747,-0.011426423562862411,-0.454725021731995
Tanzania,2009,-0.08938373518581694,-0.11065280695501929,0.63,0.10004911156161458,,22096302.0,0.018512843582947056,0.025975430711906635,-0.5542393407160885
Tanzania,2010,0.0176603005528461,0.049681550667454145,0.74,0.22432755716830438,,22690306.0,0.055516697239943895,0.06553193324385426,-0.6555548238446928
Tanzania,2011,-0.09409457841738385,0.07821277705750265,0.76,0.3207267938079322,,23338862.0,0.09892529743256002,0.11023736690209981,-0.7582211800816762
Tanzania,2012,-0.11950890394398195,0.2918579041956714,,0.4518768754276294,0.031,24018871.0,0.14530263481277478,0.15754637491068194,-0.8625386034511251
Tanzania,2013,-0.36663254948626434,0.3659853332245049,1.0,0.550435769099916,,24744828.0,0.1957972544460471,0.20854806562019335,-0.9680568029169145
Tanzania,2014,-0.786876775745688,0.18404884368512336,0.68,0.6635232646282779,0.059,25507952.0,0.24910631868312144,0.2622765197709549,-1.0743254874429151
Tanzania,2015,-1.0299154727440842,-0.14727088866949997,,0.7742547706664655,,26327523.0,0.30838752429998023,0.32100239864751046,-1.181344657029129
Tanzania,2016,-0.8210927623700991,0.022892149718916083,0.46,0.8677090204433754,,27200908.0,0.37323407457478713,0.3844279307893849,-1.2888141176514678
Tanzania,2017,-0.7450379501429593,0.14282909314924191,,0.97745886419399,,28094171.0,0.43849551286425154,0.4487619385057695,-1.396883966321977
Tanzania,2018,-0.5780129734606247,0.25586977447763176,0.43,1.0805334043891126,0.05,28981818.0,0.5010361841900761,0.5115262878512956,-1.5054041060286154
Tanzania,2019,-0.7809192006047401,0.19045108963215152,0.61,1.182429949839148,,29860889.0,0.5609309330108567,0.572654600238141,-1.6140743427472928
Tanzania,2020,-1.4276859239427604,-0.22532798541212243,0.63,1.332427947380238,,30768333.0,0.6230429750747328,0.6358991830128939,-1.7231948705020992
Tanzania,2021,-1.147778965414895,0.06871625628538823,,1.2067751745709472,,31701548.0,0.6875221388039444,0.7012440659164813,-1.8323153982569056
Tanzania,2022,-1.3877597055365674,-0.027687033655050586,,1.3536318527918068,0.133,32646077.0,0.7528718837891984,0.767425980350134,-1.9415860230237532
Tanzania,2023,-1.3877597055365674,-0.027687033655050586,,1.3764064178634907,,33603791.0,0.8190022292741215,0.834465364024252,-2.0507065507785587
Uganda,2000,-0.0762869079779721,-0.9951548145433874,,-2.030943382300953,,12207750.0,-0.6612450366257198,-0.6646795993366963,1.3449381526560689
Uganda,2001,-0.09671337422857418,-1.0168089305447188,,-1.847176202067365,,12581652.0,-0.6353233245276922,-0.6384543936849411,1.2826478926584848
Uganda,2002,-0.2835187658100809,-1.0294622225041354,,-1.6769559614022793,0.047,12976787.0,-0.6079762195951782,-0.6107634418766501,1.2188566625404742
Uganda,2003,-0.5977292849785163,-1.1054958774027352,,-1.4863171451556825,,13388571.0,-0.5795541585103633,-0.5819447224342388,1.1535644623020411
Uganda,2004,-0.33083887304064313,-0.8853735282115766,0.7,-1.234029937249529,0.081,13791950.0,-0.5517220642762499,-0.5537191890683768,1.0866211949311426
Uganda,2005,0.4044507269291071,-0.5199091560675961,1.0,-0.9931300118792157,0.12,14198215.0,-0.5236460454645883,-0.5252691223023715,1.0186272484759467
Uganda,2006,0.8424153623761268,-0.2312612708252713,1.1,-0.7591017225219114,,14615077.0,-0.4947788237695608,-0.4960472769370962,0.9488321378762444
Uganda,2007,0.6093626984984944,-0.004861284380684621,,-0.537246045530508,,15045636.0,-0.4648641981693389,-0.4658154006273885,0.8776861541681585
Uganda,2008,0.17126605653486698,0.19353730081640114,,-0.33993192572841796,,15488932.0,-0.43397589708212914,-0.4346444449427439,0.8048891033276072
Uganda,2009,0.3933326732128337,0.4111700792908117,0.4,-0.1624473841352953,,15944629.0,-0.4021756514919551,-0.40257736073410616,0.7307411793786746
Uganda,2010,1.0723951498523978,0.789598591941791,0.5,-0.0049887532086513526,,16414198.0,-0.36938624535439407,-0.36952346225722194,0.6549421882972764
Uganda,2011,0.9972034341219047,0.9567963792949964,,0.15835985144342554,,16895483.0,-0.33573372148089303,-0.33562215509955295,0.5776422270954537
Uganda,2012,0.6063345673619245,0.9483163076043104,,0.3130698279648657,0.098,17386164.0,-0.3014005524750739,-0.30104707185754387,0.4986911987611633
Uganda,2013,0.38938560050791426,0.8409672797916041,,0.4650311500811021,,17885235.0,-0.2664871122194338,-0.2658842197634288,0.4185393943305368
Uganda,2014,0.09259658097860655,0.7428932040737599,,0.6032492001713221,,18413800.0,-0.22952301750129955,-0.22864970144110863,0.3365864257553996
Uganda,2015,-0.13372458237211002,0.19632303127889703,,0.7552105222875585,0.097,18981075.0,-0.1898595000919676,-0.18869214841644089,0.25313248705984004
Uganda,2016,-0.12607350143903662,0.1451265674159923,,0.8853789416196827,,19614061.0,-0.14558617785535202,-0.14409833068779807,0.1684777722679421
Uganda,2017,-0.7977904812181753,-0.2395622069807081,,1.0188850127295555,0.172,20302070.0,-0.09744110225128652,-0.09561642323366144,0.08262228137970376
Uganda,2018,-0.7825390869940707,-0.16339084003506263,,1.13688081969578,0.414,20994867.0,-0.04891803771792901,-0.046775466364631875,-0.00413379158078888
Uganda,2019,-0.9340816763482792,-0.14255210051069686,,1.2505573125966842,,21710133.0,0.001201941107218694,0.0036612148707921227,-0.09224073764966294
Uganda,2020,0.026353751842393896,0.42962974428810213,,1.2615519302174967,0.158,22437739.0,0.05211493638136451,0.05493190243302091,-0.18124826579079126
Uganda,2021,0.18892173681249502,0.7467712239188472,,1.2694052285180786,,23163441.0,0.10290007527843112,0.10607113436054265,-0.27115637600417175
Uganda,2022,-0.5366840668652098,0.39999490086421285,,1.5099124889733608,0.168,23862969.0,0.15188455276016777,0.1553815605634765,-0.3621151653018496
Uganda,2023,-0.5366840668652098,0.39999490086421285,,1.6231963169592367,,24533989.0,0.1988183757794103,0.20265500484535567,-0.45397453667178383
